experiment_group,experiment_id,preset_name,particles,iterations,inertia_weight,c1,c2,risk_free_rate,objective_mode,risk_aversion,max_asset_weight,top_k_assets,random_seed,monte_carlo_samples,objective_score,expected_return,volatility,sharpe_ratio,selected_assets_count,actual_max_weight,weight_concentration_hhi,compute_time_seconds,convergence_metric,convergence_first,convergence_final,convergence_improvement,best_weights_nonzero_count,monte_carlo_best_sharpe,pso_minus_monte_carlo_best_sharpe
risk_preference_preset,preset_conservative,conservative,100,220,0.5,1.2,1.8,0.0,risk_adjusted_return,2.0,0.15,10,42,3000,0.03162428961622518,0.16415189501912547,0.06626380270145014,2.477248336602528,7,0.15,0.14375901266920363,1.4378855999966618,objective_score,0.010951391251926956,0.03162428961622518,0.020672898364298226,7,2.171977336378106,0.3052710002244221
risk_preference_preset,preset_balanced,balanced,100,200,0.7,1.5,1.5,0.0,sharpe,0.0,0.25,10,42,3000,2.6076060175691724,0.15170431830894007,0.058177622419494125,2.6076060175691724,5,0.25,0.21902088739880377,1.3702776999998605,objective_score,2.1418856293528377,2.6076060175691724,0.46572038821633477,5,2.171977336378106,0.43562868119106657
risk_preference_preset,preset_aggressive,aggressive,200,400,0.9,2.0,1.2,0.0,risk_adjusted_return,0.2,0.5,10,42,3000,0.17230645786221035,0.193,0.10346771068894825,1.8653162297193362,2,0.5,0.5,5.844956500004628,objective_score,0.15492599626855766,0.17230645786221035,0.017380461593652696,2,2.171977336378106,-0.30666110665876967
max_weight_constraint,max_weight_none,,100,200,0.7,1.5,1.5,0.0,sharpe,0.0,,10,42,3000,2.6664311768695854,0.15827108125234918,0.05935689719850969,2.6664311768695854,2,0.651606597091713,0.545969120563458,1.1865542000014102,objective_score,2.1418856293528377,2.6664311768695854,0.5245455475167478,2,2.171977336378106,0.49445384049147956
max_weight_constraint,max_weight_50pct,,100,200,0.7,1.5,1.5,0.0,sharpe,0.0,0.5,10,42,3000,2.695783470770838,0.15028994242405713,0.0557500051668033,2.695783470770838,3,0.5,0.38693733008625497,1.555148499988718,objective_score,2.1418856293528377,2.695783470770838,0.5538978414180002,3,2.171977336378106,0.523806134392732
max_weight_constraint,max_weight_25pct,,100,200,0.7,1.5,1.5,0.0,sharpe,0.0,0.25,10,42,3000,2.6076060175691724,0.15170431830894007,0.058177622419494125,2.6076060175691724,5,0.25,0.21902088739880377,1.6537871999898925,objective_score,2.1418856293528377,2.6076060175691724,0.46572038821633477,5,2.171977336378106,0.43562868119106657
max_weight_constraint,max_weight_15pct,,100,200,0.7,1.5,1.5,0.0,sharpe,0.0,0.15,10,42,3000,2.602973095490403,0.14901891132492556,0.057249501188889634,2.602973095490403,8,0.15,0.14274434007908224,1.5849939999898197,objective_score,2.1392439298190067,2.602973095490403,0.46372916567139644,8,2.171977336378106,0.43099575911229726
top_k_selection,top_k_5,,100,200,0.7,1.5,1.5,0.0,sharpe,0.0,0.25,5,42,3000,2.606192609327641,0.15033430684071203,0.057683498258210494,2.606192609327641,5,0.25,0.22871818310553677,1.467260699995677,objective_score,2.4033230441987303,2.606192609327641,0.20286956512891052,5,2.3443549236892025,0.26183768563843834
top_k_selection,top_k_10,,100,200,0.7,1.5,1.5,0.0,sharpe,0.0,0.25,10,42,3000,2.6076060175691724,0.15170431830894007,0.058177622419494125,2.6076060175691724,5,0.25,0.21902088739880377,1.5830188999971142,objective_score,2.1418856293528377,2.6076060175691724,0.46572038821633477,5,2.171977336378106,0.43562868119106657
top_k_selection,top_k_15,,100,200,0.7,1.5,1.5,0.0,sharpe,0.0,0.25,15,42,3000,2.6076060175691724,0.15170431825639105,0.05817762239934192,2.6076060175691724,5,0.25,0.21902088736897124,1.6524804000073345,objective_score,2.1864894818078136,2.6076060175691724,0.4211165357613589,5,2.1507981017619855,0.45680791580718694
top_k_selection,top_k_20,,100,200,0.7,1.5,1.5,0.0,sharpe,0.0,0.25,20,42,3000,2.6076060175691724,0.15170431812158952,0.0581776223476464,2.6076060175691724,5,0.25,0.2190208872924432,1.614019200002076,objective_score,2.061399853643109,2.6076060175691724,0.5462061639260636,5,2.089844785817077,0.5177612317520954
seed_stability,seed_1,,100,200,0.7,1.5,1.5,0.0,sharpe,0.0,0.25,10,1,3000,2.7119632403099057,0.14716493162047228,0.05426509085117807,2.7119632403099057,5,0.25,0.2213538494007337,1.5200852999987546,objective_score,2.220283635295548,2.7119632403099057,0.4916796050143577,5,2.252888021816325,0.45907521849358046
seed_stability,seed_7,,100,200,0.7,1.5,1.5,0.0,sharpe,0.0,0.25,10,7,3000,2.7119632403099057,0.14716493187699592,0.05426509094576771,2.7119632403099057,5,0.25,0.22135385001779612,1.5865828999958467,objective_score,2.165122413227141,2.7119632403099057,0.5468408270827645,5,2.1807184941410322,0.5312447461688734
seed_stability,seed_42,,100,200,0.7,1.5,1.5,0.0,sharpe,0.0,0.25,10,42,3000,2.6076060175691724,0.15170431830894007,0.058177622419494125,2.6076060175691724,5,0.25,0.21902088739880377,1.5534441000054358,objective_score,2.1418856293528377,2.6076060175691724,0.46572038821633477,5,2.171977336378106,0.43562868119106657
seed_stability,seed_2024,,100,200,0.7,1.5,1.5,0.0,sharpe,0.0,0.25,10,2024,3000,2.6931709277705873,0.14480731553388587,0.053768334583114516,2.6931709277705873,6,0.25,0.21319064296186035,1.5042228999955114,objective_score,2.229887641258257,2.6931709277705873,0.4632832865123304,6,2.1839023725106865,0.5092685552599008
seed_stability,seed_3407,,100,200,0.7,1.5,1.5,0.0,sharpe,0.0,0.25,10,3407,3000,2.7119632403099057,0.14716493206879086,0.05426509101648952,2.7119632403099057,5,0.25,0.221353850479155,1.4953989000059664,objective_score,2.179861660981372,2.7119632403099057,0.5321015793285335,5,2.163814313658689,0.5481489266512165
